t,state,attacker_action,defender_action,UD,UA,SAP,SAL,DC,ASSC,NC,AIC,AS_success,is_absorbing,power_W,q_vec,p_vec,td_loss,entropy
688,p2_s3,destroy,iphop,5.2192776759717034,4.362507565490119,5.749365615720948,4.862507565490119,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
689,p2_s3,destroy,iphop,5.290267526683523,4.333007769223309,5.807006930281273,4.833007769223309,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
690,p2_s3,destroy,iphop,5.249119210882971,4.334478711216727,5.770232258996816,4.834478711216727,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
691,p2_s3,destroy,iphop,4.947656829328913,4.346358073513353,5.486844594028439,4.846358073513353,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
692,p2_s3,destroy,iphop,5.189509652365223,4.095906200992347,5.743855394646968,4.595906200992347,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
693,p2_s3,destroy,iphop,5.3370997452606135,4.049844309365732,5.8897505514366175,4.549844309365732,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
694,p2_s3,destroy,iphop,5.147212738822833,4.009594004535362,5.682874011644158,4.509594004535362,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
695,p2_s3,lateral,iphop,5.225379924648283,4.280217154823067,5.7443771654810325,4.930217154823067,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
696,p2_s3,lateral,iphop,5.197924924684633,4.559125490055474,5.715904469055089,5.209125490055475,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
697,p2_s3,destroy,iphop,5.481347053896742,4.418198421607507,6.014890902765269,4.918198421607507,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
698,p2_s3,lateral,iphop,4.8739681927227725,4.2814604842836195,5.425348597272679,4.93146048428362,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
699,p2_s3,destroy,iphop,5.067796104354197,4.127512627370752,5.622886468732818,4.627512627370752,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
700,entry,lateral,iphop,3.822962076808753,5.471542405067904,4.358977388132185,6.121542405067904,0.7360153113234325,0.3,0.1860153113234325,0.25,0,0,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
701,p2_s0,lateral,iphop,4.656916302336191,4.759559054735154,5.176102193963465,5.409559054735154,0.7360153113234325,0.3,0.1860153113234325,0.25,0,0,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
702,p2_s1,destroy,iphop,5.006479763938939,4.757086856259049,5.524309126725859,5.257086856259049,0.7360153113234325,0.3,0.1860153113234325,0.25,0,0,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
703,p2_s2,destroy,iphop,5.014884190922105,4.218029316507373,5.548077102084339,4.718029316507373,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
704,p2_s3,lateral,iphop,5.21754789376274,3.9855882647940395,5.76869925499233,4.635588264794039,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
705,p2_s3,lateral,iphop,4.935527286947057,3.8253410840907134,5.490721083763751,4.475341084090713,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
706,p2_s3,destroy,iphop,5.309799669541016,4.009953587129708,5.8514032908284275,4.509953587129708,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
707,p2_s3,lateral,iphop,5.035996020957194,4.246429719467737,5.55887160030625,4.896429719467737,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
708,p2_s3,destroy,iphop,5.324075946335521,4.062781577561105,5.840304092726486,4.562781577561105,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
709,p2_s3,destroy,iphop,5.321658136669723,4.4088356860263875,5.84943107828832,4.9088356860263875,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
710,p2_s3,destroy,iphop,5.27039991731673,4.378757052136745,5.81729565085795,4.878757052136745,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
711,p2_s3,destroy,iphop,5.124904927085194,4.383166918585112,5.680920042539642,4.883166918585112,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
712,p2_s3,destroy,iphop,5.1570455217164195,3.829620433192823,5.703792291399861,4.329620433192823,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
713,p2_s3,destroy,iphop,5.03781476020656,4.15873034834052,5.565426730793459,4.65873034834052,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
714,p2_s3,destroy,iphop,5.217983622010465,4.378021785172819,5.7341867862199996,4.878021785172819,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
715,p2_s3,destroy,iphop,5.109149148750327,4.057765872870067,5.632158703270616,4.557765872870067,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
716,p2_s3,destroy,iphop,5.176406161188274,4.2901658525541055,5.718179538845008,4.7901658525541055,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
717,p2_s3,lateral,iphop,5.042959831298763,4.193484929470836,5.598203092459787,4.843484929470836,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
718,p2_s3,destroy,iphop,5.335271686744196,4.0194967903154035,5.886306743003063,4.5194967903154035,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
719,p2_s3,lateral,iphop,5.158574723635699,4.346197877785594,5.6915924907658715,4.996197877785594,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
720,p2_s3,destroy,iphop,5.087097953924152,4.382109464329917,5.604854360233031,4.882109464329917,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
721,p2_s3,destroy,iphop,5.049710989922535,4.3750658311097945,5.568993188475246,4.8750658311097945,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
722,p2_s3,lateral,iphop,5.155953688064581,4.03995379043229,5.692146025573821,4.68995379043229,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
723,p2_s3,destroy,iphop,5.000049995628377,3.993417226455614,5.552989715035312,4.493417226455614,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
724,p2_s3,destroy,iphop,5.221169673153545,4.429993455570222,5.77529655171711,4.929993455570222,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
725,p2_s3,destroy,iphop,5.296435784891585,3.967447194086359,5.835098131216974,4.467447194086359,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
726,p2_s3,destroy,iphop,5.27463845316564,4.029884236412661,5.79540259547948,4.529884236412661,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
727,p2_s3,destroy,iphop,5.1146761146313935,4.306851317014707,5.631563907386736,4.806851317014707,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
728,p2_s3,destroy,iphop,5.360748289340622,4.246684563335833,5.891345484897896,4.746684563335833,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
729,p2_s3,destroy,iphop,5.095735430055973,4.626381921718055,5.645023419063665,5.126381921718055,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
730,p2_s3,destroy,iphop,5.055396251452812,4.346350482430073,5.611172195258103,4.846350482430073,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
731,p2_s3,destroy,iphop,5.313573742780443,4.374764296661208,5.857669807010336,4.874764296661208,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
732,p2_s3,destroy,iphop,5.1777781893395645,3.7764972785887068,5.7027649670381635,4.276497278588707,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
733,p2_s3,destroy,iphop,5.389425810890578,4.3405864576313435,5.9054428850118645,4.8405864576313435,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
734,p2_s3,destroy,iphop,5.310092790858068,4.515058531208022,5.8355264484591,5.015058531208022,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
735,p2_s3,destroy,iphop,5.201244045904835,4.611064110800241,5.74582301061819,5.111064110800241,0.7360153113234325,0.3,0.1860153113234325,0.25,1,1,,"[0.9257529174238867, 0.07421704460023987, 3.0037975874680683e-05]","[1.0537791119349076e-16, 0.7386552333639129, 0.26134476663608713]",,
