t,UD,SAL
1018,5.2188,4.5062
1019,5.0853,4.8795
1020,5.4227,4.8209
1021,5.1752,4.9362
1022,5.3652,4.7588
1023,5.0978,4.7401
1024,5.1386,4.5599
1025,5.217,4.8144
1026,5.3511,5.182
1027,5.1893,5.0367
1028,5.1281,4.5826
1029,5.4879,4.8387
1030,5.0503,4.6871
1031,5.0609,4.7098
1032,5.5889,4.68
1033,5.3666,4.7165
1034,5.3016,4.5852
1035,5.1965,4.6285
1036,5.4019,5.1988
1037,5.0517,4.5937
1038,5.0972,4.5297
1039,5.3282,4.9591
1040,5.122,4.8109
1041,5.1554,5.0809
1042,5.3188,4.7786
1043,5.3674,4.851
1044,5.3572,4.8435
1045,5.4783,4.8238
1046,5.2121,5.3477
1047,5.0499,4.5784
1048,5.1726,4.925
1049,5.1684,4.9794
1050,3.7335,5.4037
1051,4.6444,4.9057
1052,4.8494,4.9141
1053,5.2999,4.9963
1054,5.3508,4.458
1055,5.0776,5.0151
1056,5.2585,4.6328
1057,5.2858,4.7817
1058,5.3188,4.9961
1059,5.2624,4.8324
1060,5.204,4.8596
1061,4.9865,4.7503
1062,5.3023,4.771
1063,5.5591,4.6533
1064,5.0314,4.4862
1065,5.1413,4.5179
1066,5.1938,4.7272
1067,5.2306,4.8698
1068,5.314,4.9709
1069,5.2964,4.6814
1070,5.3316,4.4122
1071,5.518,4.7343
1072,5.4484,4.4978
1073,5.1986,4.8939
1074,5.4148,4.7073
1075,5.261,4.7844
1076,5.4899,4.8699
1077,4.9676,4.7444
1078,5.3751,5.3373
1079,4.9403,4.7156
1080,5.5048,4.9016
1081,5.2402,4.0469
1082,5.4631,4.5325
1083,5.1218,4.8894
1084,5.2067,5.0296
1085,5.0396,4.5774
1086,5.2241,4.7572
1087,5.2915,4.7603
1088,4.8745,4.8177
1089,5.2193,4.3817
1090,5.2768,4.618
1091,5.3346,4.8877
1092,5.3833,4.8823
1093,5.0722,5.035
1094,5.2873,4.2846
1095,5.2246,4.4232
1096,5.1601,5.0188
1097,4.8268,4.5879
1098,5.2155,4.6636
1099,5.4939,5.0708
1100,4.2467,6.1534
1101,4.6897,5.5168
1102,4.6401,4.9726
1103,4.7875,4.4063
1104,5.1081,4.7502
1105,5.0145,4.9052
1106,5.1228,5.096
1107,5.3912,4.6465
1108,5.1811,4.8966
1109,5.3172,4.4433
1110,4.8568,4.6617
1111,5.1304,4.6647
1112,5.4549,4.765
1113,5.257,4.3274
1114,5.3645,4.3897
1115,5.3168,4.9624
1116,5.3367,4.9377
1117,4.9033,4.7957
1118,5.3809,4.8434
1119,5.2496,4.7345
1120,4.9006,4.6899
